Study_Hours_per_Week;Preferred_Learning_Style;Online_Courses_Completed;Participation_in_Discussions;Assignment_Completion_Rate (%);Attendance_Rate (%);Use_of_Educational_Tech;Self_Reported_Stress_Level;Time_Spent_on_Social_Media (hours/week);Sleep_Hours_per_Night;Final_Grade
3;0;14;1;100;66;1;0;9;8;2
3;1;20;0;71;57;1;1;28;8;3
3;0;11;0;60;79;1;2;13;7;3
1;2;0;1;63;60;1;2;24;10;1
2;2;19;1;59;93;1;1;26;8;2
2;0;5;1;63;80;0;0;25;8;3
3;1;13;1;91;66;1;2;30;10;3
1;1;5;1;88;76;1;2;4;6;2
3;3;16;0;52;70;0;2;26;9;1
3;2;7;0;100;100;0;1;5;9;2
3;0;20;0;74;93;0;1;15;10;3
1;3;18;1;77;74;0;0;9;6;2
2;3;4;0;67;93;1;1;28;7;1
3;1;20;0;80;51;1;2;27;6;2
1;1;17;1;67;55;1;0;28;8;1
2;1;13;1;85;76;1;1;5;8;0
1;3;20;1;81;93;0;1;6;9;0
1;0;9;1;52;69;0;2;1;5;0
1;0;11;0;50;96;1;1;13;7;1
2;2;19;0;50;80;1;1;20;8;2
3;1;0;1;89;90;1;2;26;10;0
3;3;16;1;81;82;1;1;29;9;1
1;1;4;1;90;73;1;0;12;9;1
3;1;6;1;68;100;0;1;23;7;0
3;3;3;1;96;66;1;2;8;7;1
3;1;7;1;91;50;1;2;19;10;2
3;0;1;1;86;86;1;2;30;9;3
3;2;16;1;100;74;0;1;29;7;2
3;0;9;0;79;91;1;1;21;6;0
3;3;5;0;76;79;0;2;20;5;3
2;0;3;1;59;81;1;1;9;5;2
1;2;18;0;85;76;0;1;16;7;1
2;2;12;1;55;85;1;0;14;4;2
1;3;10;1;96;71;1;1;2;7;0
3;2;5;0;53;96;1;0;0;10;3
3;2;12;1;57;67;0;1;15;5;2
2;0;3;1;53;76;0;2;19;4;3
1;3;3;1;58;62;0;1;22;7;1
2;0;1;1;64;62;0;0;2;4;0
1;3;8;1;98;58;1;1;0;5;2
3;1;14;0;65;74;1;2;26;9;2
3;0;8;0;77;88;1;2;23;5;3
2;2;19;0;90;54;1;0;17;9;0
3;2;5;1;96;92;0;0;16;5;3
3;3;9;0;78;58;1;2;24;8;3
1;3;13;0;81;90;0;1;6;10;0
2;3;10;0;94;65;1;1;11;6;3
3;2;16;1;50;88;1;0;8;4;1
1;0;5;1;50;66;1;2;0;8;1
3;0;6;1;88;100;1;2;12;9;1
3;2;17;1;98;66;1;0;4;4;3
3;3;9;1;99;79;0;0;21;7;0
2;3;3;1;62;71;1;2;10;6;2
3;0;2;0;52;84;1;1;11;10;3
3;1;15;1;88;63;0;1;5;5;0
2;3;1;1;89;74;1;1;18;8;2
1;3;19;1;71;77;1;0;30;6;2
2;1;5;0;53;71;0;1;29;9;0
3;1;17;1;52;51;1;2;27;7;3
1;0;2;1;52;77;1;0;19;9;1
3;0;6;1;59;53;0;2;11;6;2
3;1;7;1;71;89;0;2;18;10;0
2;0;12;1;100;75;0;1;28;4;2
2;0;10;1;72;83;1;2;12;6;3
3;0;6;1;88;77;1;2;11;6;2
1;0;11;0;88;87;0;1;23;5;0
1;0;14;0;57;73;1;1;4;7;2
3;2;11;0;83;60;0;1;21;7;2
1;3;3;0;91;73;0;1;2;9;1
3;3;2;0;96;96;1;0;5;9;3
1;1;7;1;53;87;0;1;10;8;1
3;3;13;0;55;52;0;1;7;7;3
1;3;3;1;53;78;0;2;2;8;1
1;2;12;0;79;72;1;1;10;5;1
2;3;6;0;75;68;0;1;19;9;0
3;2;3;1;53;99;0;1;27;6;3
3;1;11;1;76;69;1;2;24;5;1
3;0;0;1;62;96;1;1;5;6;0
3;1;15;0;88;57;1;0;13;8;3
2;3;5;1;62;61;1;0;0;6;1
3;1;16;1;61;63;1;2;23;8;3
3;0;18;0;76;61;1;1;25;5;2
1;3;8;1;75;52;1;2;10;8;1
2;1;0;1;98;99;1;1;1;4;0
2;1;0;0;89;70;1;1;13;9;1
3;0;9;1;90;92;0;1;2;8;2
1;1;14;0;71;61;0;1;2;5;3
1;3;4;1;74;80;0;1;18;4;2
2;3;9;1;55;95;1;1;2;10;3
2;1;15;1;61;54;0;0;20;10;0
3;2;15;1;58;87;0;2;28;7;0
1;1;19;1;58;86;0;2;26;5;0
1;0;17;0;63;72;1;1;26;4;3
1;1;15;1;57;57;0;1;13;8;1
2;3;6;0;100;87;1;1;19;5;2
2;3;12;1;80;52;1;2;15;10;0
2;2;9;0;81;75;0;1;19;9;1
3;1;13;0;100;96;1;1;15;8;0
3;1;17;0;86;95;1;2;12;9;3
3;0;7;0;80;80;1;2;1;7;0
1;2;10;0;63;81;1;2;0;4;3
2;1;14;1;89;59;1;0;12;4;1
3;2;5;0;73;59;1;2;29;10;2
3;3;6;0;91;59;1;1;19;8;2
2;0;19;0;54;62;1;0;15;5;2
3;0;0;1;74;68;0;1;27;9;3
3;1;18;1;56;81;1;2;7;6;3
3;1;17;0;54;78;0;0;26;5;1
1;1;20;1;63;54;1;1;14;8;1
2;1;7;1;61;50;1;2;4;4;0
1;1;17;0;52;51;1;0;17;4;2
3;0;20;1;75;92;1;1;28;6;3
3;3;6;1;66;86;1;1;14;7;1
3;1;1;1;79;58;0;2;20;7;2
3;2;18;1;59;69;0;2;8;10;2
2;3;6;0;56;81;1;1;27;10;2
2;3;2;0;76;98;0;0;28;10;0
1;1;5;0;79;80;1;1;5;8;2
3;0;0;0;52;68;1;0;15;8;3
2;3;10;1;67;55;1;0;30;10;2
2;0;16;0;97;72;1;1;4;4;0
2;2;0;1;73;79;0;1;2;8;2
1;3;2;0;61;75;0;2;23;5;3
3;2;4;0;58;57;1;1;27;8;1
3;0;8;0;89;61;1;0;11;6;0
